Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum
4760775,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,4,0.249451207,0,24654.75,24654.75,0,2,2,48,38,1,240.0000,0.0000,3.Private Ltd Co,SELF_EMP,DSA,2,41.86617183,Builder Ready,NONSAL,0.418661718,0.418661718
4763263,0,Proprietor-Proprietorship Firm (Staff Less than 25),SALARIED,2,0.65132337,0,22620,22620,0,2,1,60,28,2,300.0000,6744.0000,3.Private Ltd Co,SALARIED,UBL Sales,2,61.16710875,Builder UNC,SAL,0.611671088,0.611671088
4763305,1,Private Ltd. Co.,SAL(RETIRAL AGE 60),3,0.712334571,0,50000,73066,23066,3,2,36,32,1,336.0000,13907.0000,3.Private Ltd Co,SALARIED,DSA,1,,Resale Ready,SAL,0.47018,0.321750198
4763347,1,Director-Pvt. Ltd. Co. (Staff Less than 50),SALARIED,0,0.754078667,0,12662,12662,0,3,2,32,24,1,240.0000,4238.0000,3.Private Ltd Co,SALARIED,CROSS SALES,1,,Builder Ready,SAL,0.453482862,0.453482862
4763459,0,Government,SALARIED,1,0.5,0,46750,46750,0,3,3,33,31,1,264.0000,0.0000,2.Govt,SALARIED,DSA,1,57.43101604,Builder UNC,SAL,0.239957219,0.239957219
4763803,0,Government,SALARIED,0,0.517301515,0,14233,21984,7751,2,2,43,34,1,180.0000,8345.0000,2.Govt,SALARIED,CROSS SALES,1,52.22434498,Builder UNC,SAL,0.806646526,0.52224345
4764371,0,Partner-Partnership Firm (Staff Less than 10),SALARIED,3,0.091897568,0,50000,50000,0,4,3,41,34,1,240.0000,13665.0000,3.Private Ltd Co,SALARIED,DSA,1,35.912,Builder UNC,SAL,0.35912,0.35912
4764557,0,Proprietor-Proprietorship Firm (Staff Less than 25),SALARIED,4,0.891674647,0,42300,42300,0,2,2,54,29,1,180.0000,0.0000,3.Private Ltd Co,SALARIED,UBL Sales,1,37.5035461,Builder UNC,SAL,0.375035461,0.375035461
4764565,0,Government,SALARIED,2,0.6714756,0,49159,49159,49159,3,3,30,30,0,240.0000,0.0000,2.Govt,SALARIED,DSA,1,,Builder UNC,SAL,0.332940052,0.332940052
4764581,0,Private Ltd. Co.,SALARIED,1,0.602493182,0,21610,41510,19900,3,3,29,25,1,300.0000,0.0000,3.Private Ltd Co,SALARIED,DSA,1,28.90387858,Builder UNC,SAL,0.555205923,0.289038786
4764647,0,,,0,0.3,0,315703,315704,1,3,3,40,38,1,240.0000,0.0000,1.Others,OTHERS,CROSS SALES,1,,Builder UNC,NONSAL,0.046325185,0.046325039
